Share,PTS,W/L%,seed,player_efficiency_rating,free_throw_attempt_rate,usage_percentage,win_shares_per_48_minutes,offensive_box_plus_minus,value_over_replacement_player
0.019,23.1,0.427,10.0,24.5,0.58,25.1,0.205,5.6,6.1
0.019,15.8,0.671,2.5,22.8,0.39,19.9,0.215,6.0,8.1
0.003,20.2,0.622,3.5,21.0,0.214,24.7,0.159,4.3,3.1
0.002,19.7,0.646,4.0,19.9,0.493,23.6,0.165,3.8,4.0
0.001,19.3,0.549,7.0,19.7,0.321,23.1,0.162,2.6,4.6
0.001,17.3,0.488,6.5,19.5,0.477,21.1,0.181,3.0,3.3
0.852,25.6,0.756,1.0,25.9,0.423,26.9,0.242,6.3,7.1
0.66,26.1,0.671,2.5,27.3,0.356,28.8,0.234,3.9,7.8
0.577,32.6,0.695,2.0,29.7,0.284,34.7,0.27,8.7,10.2
0.366,24.2,0.732,1.0,20.8,0.359,29.7,0.17,1.4,4.0
0.055,29.9,0.524,6.5,24.3,0.396,31.9,0.191,7.1,4.9
0.034,23.4,0.598,5.0,24.2,0.568,26.4,0.197,3.6,6.8
0.031,23.4,0.5,8.5,22.9,0.553,27.0,0.163,2.0,4.3
0.01,27.0,0.573,6.0,26.2,0.579,28.4,0.238,6.0,7.3
0.01,18.2,0.659,3.0,22.1,0.309,24.5,0.197,5.8,4.4
0.001,20.2,0.659,3.0,22.0,0.54,21.1,0.226,4.0,4.7
0.001,19.9,0.622,4.0,20.7,0.358,26.1,0.171,3.8,3.2
0.001,23.5,0.488,10.0,17.6,0.273,24.5,0.141,2.9,3.2
0.001,17.8,0.671,2.5,20.4,0.48,24.2,0.169,0.9,2.6
0.001,15.1,0.573,6.0,21.3,0.408,19.9,0.177,5.1,6.2
0.88,27.3,0.707,2.0,25.3,0.32,29.8,0.21,3.5,7.3
0.723,29.8,0.671,4.0,30.7,0.558,32.0,0.296,8.1,11.4
0.386,22.0,0.671,3.0,23.2,0.32,27.1,0.194,4.5,6.8
0.286,29.3,0.61,4.0,28.5,0.534,29.0,0.252,6.2,7.2
0.252,24.5,0.695,1.5,22.9,0.387,29.8,0.211,2.5,5.5
0.02,16.5,0.768,1.0,17.8,0.241,21.6,0.155,1.9,3.7
0.017,18.1,0.768,1.0,22.9,0.496,24.2,0.216,2.4,4.2
0.017,25.2,0.646,5.0,22.9,0.474,28.0,0.193,4.1,6.4
0.007,17.3,0.573,5.5,22.7,0.267,24.6,0.201,6.3,5.0
0.005,21.6,0.683,3.0,22.8,0.432,26.5,0.185,4.5,4.2
0.001,13.8,0.695,1.5,19.6,0.147,19.8,0.168,3.4,5.7
0.001,20.0,0.683,3.0,20.6,0.473,24.3,0.17,4.1,3.4
0.001,4.7,0.671,4.0,13.4,0.349,7.1,0.14,0.7,2.3
0.001,21.0,0.61,6.0,15.9,0.322,21.5,0.108,1.6,3.5
0.001,15.1,0.646,5.0,22.5,0.389,19.1,0.214,5.8,7.5
0.001,19.1,0.695,1.5,19.4,0.299,24.1,0.17,1.3,1.7
0.858,27.6,0.756,1.0,29.1,0.57,29.9,0.273,6.0,8.7
0.576,29.3,0.695,1.0,28.6,0.536,31.9,0.23,5.6,5.7
0.507,26.7,0.732,2.0,25.1,0.449,30.3,0.212,4.3,6.0
0.219,23.9,0.671,2.0,21.9,0.386,30.7,0.157,1.8,4.1
0.14,27.8,0.573,6.0,26.0,0.348,31.7,0.181,2.8,5.3
0.091,23.0,0.72,3.0,25.2,0.444,27.5,0.214,5.6,5.0
0.079,21.4,0.573,5.0,22.6,0.333,26.3,0.188,4.4,7.2
0.045,14.7,0.732,2.0,23.3,0.387,18.9,0.233,7.0,7.9
0.032,20.6,0.695,4.0,21.3,0.259,24.4,0.187,4.1,5.2
0.022,20.9,0.695,1.0,20.8,0.405,23.7,0.177,4.4,4.5
0.011,26.9,0.573,5.0,22.1,0.337,33.2,0.167,3.6,1.1
0.009,7.1,0.756,1.0,16.6,0.463,10.9,0.178,1.4,1.5
0.007,11.7,0.439,10.0,15.1,0.321,19.0,0.066,0.6,2.1
0.001,21.7,0.585,5.0,19.9,0.299,26.5,0.123,2.8,1.5
0.986,30.4,0.878,1.0,29.4,0.355,33.3,0.317,8.3,9.8
0.508,25.0,0.72,2.0,29.4,0.597,28.8,0.29,5.8,8.3
0.319,21.7,0.732,2.0,24.6,0.477,25.5,0.229,6.2,6.9
0.211,26.9,0.585,5.0,25.5,0.367,31.9,0.166,2.8,4.9
0.2,19.4,0.878,1.0,21.0,0.266,24.4,0.209,4.6,5.9
0.087,19.3,0.78,1.0,19.6,0.24,23.6,0.174,2.8,5.2
0.075,25.7,0.671,3.0,26.0,0.466,29.8,0.233,5.6,7.1
0.065,19.6,0.78,1.0,22.6,0.709,26.2,0.205,1.5,3.2
0.056,20.2,0.561,6.5,20.9,0.529,25.9,0.172,3.1,5.6
0.056,26.6,0.732,2.0,26.4,0.495,32.8,0.171,3.5,2.8
0.011,14.7,0.671,3.0,21.9,0.345,18.7,0.214,6.0,6.4
0.007,23.2,0.5,7.0,24.8,0.488,27.5,0.191,5.0,5.1
0.007,14.6,0.646,4.0,21.1,0.684,22.7,0.181,4.7,1.8
0.005,23.2,0.512,8.0,22.7,0.662,28.1,0.178,2.2,4.2
0.004,5.5,0.878,1.0,13.6,0.349,10.3,0.143,-0.3,1.1
0.003,19.3,0.573,4.5,25.2,0.348,27.6,0.237,6.0,6.2
0.003,23.1,0.476,8.0,19.2,0.359,26.9,0.151,3.9,4.1
0.857,27.4,0.78,1.0,28.9,0.439,32.7,0.268,7.1,7.8
0.832,29.6,0.841,1.0,27.8,0.304,33.2,0.283,7.8,8.6
0.327,21.4,0.659,5.5,25.5,0.503,28.3,0.223,5.4,8.0
0.207,20.3,0.744,2.0,20.8,0.263,26.6,0.198,5.2,6.5
0.117,26.8,0.659,5.5,19.7,0.354,26.9,0.154,3.9,3.2
0.091,21.8,0.695,2.5,21.8,0.24,26.4,0.193,4.4,6.1
0.083,23.2,0.695,2.5,22.7,0.313,30.4,0.154,1.5,3.9
0.05,22.4,0.695,3.0,21.3,0.434,29.8,0.163,0.9,3.5
0.006,16.2,0.659,5.5,18.9,0.519,17.6,0.173,2.6,4.3
0.006,26.2,0.683,4.0,27.1,0.483,31.1,0.197,4.7,4.1
0.005,20.2,0.841,1.0,21.3,0.213,24.6,0.203,4.3,6.1
0.004,19.8,0.744,2.0,21.6,0.638,27.5,0.174,0.5,2.9
0.003,13.3,0.683,4.0,19.0,0.602,17.4,0.183,0.3,3.5
0.003,25.9,0.415,9.0,21.6,0.337,29.4,0.166,5.2,5.2
0.003,14.4,0.78,1.0,22.1,0.428,18.4,0.226,5.6,6.3
0.002,19.2,0.695,2.5,23.0,0.6,23.2,0.224,4.5,3.9
0.001,20.6,0.488,6.5,19.0,0.423,27.5,0.103,1.2,2.9
0.001,23.5,0.268,14.0,18.0,0.362,28.9,0.065,2.5,2.2
0.001,20.1,0.488,6.5,22.9,0.579,22.6,0.211,5.3,4.7
0.001,20.1,0.683,4.0,17.4,0.343,25.0,0.154,2.7,2.7
0.934,28.7,0.756,1.0,25.2,0.381,33.7,0.238,5.9,7.1
0.726,27.0,0.756,1.0,27.9,0.56,31.8,0.259,6.6,7.1
0.372,19.2,0.744,2.5,21.6,0.293,24.6,0.19,4.4,5.7
0.268,28.3,0.744,2.5,28.8,0.594,32.9,0.224,5.7,4.3
0.128,21.1,0.683,4.5,22.6,0.375,26.0,0.192,2.5,5.3
0.061,18.9,0.671,3.0,20.6,0.254,25.6,0.185,4.8,5.5
0.031,21.6,0.683,4.5,27.8,0.62,29.7,0.269,5.3,6.3
